pais_codigo_iso3,pais_nombre,sector,ocupacion_id,ocupacion_nombre,codigo_ciuo08_oit,nivel_demanda,tendencia_crecimiento_estimada,habilidades_clave,fuentes_oficiales_validadas,contexto_pais,fecha_actualizacion
URY,Uruguay,Turismo,OCUP_14,Guía Especializado en Ecoturismo y Aventura,5113,Alta,+13.1% anual,"Primeros Auxilios en Áreas Remotas, Interpretación Patrimonial, Idiomas",Sernatur / Mintur / Parques Nacionales,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Turismo,OCUP_15,Coordinador de Operaciones Turísticas Digitales (TravelTech),3339,Alta,+10.2% anual,"Canales OTA (Booking, Expedia), Marketing Turístico Digital, CRM","Cámaras de Turismo de URY, CHL y ARG",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Turismo,OCUP_16,Chef Ejecutivo y Gestor Gastronómico Sostenible,3434,Media-Alta,+6.8% anual,"Cocina de Autor/Identidad Regional, Costos Gastronómicos, HACCP/BPM",Asociaciones Gastronómicas y Hoteleras,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Economía del Conocimiento,OCUP_17,Diseñador UX/UI y Experiencia de Producto Digital,2166,Muy Alta,+17.4% anual,"Figma, Design Systems, User Research, Prototipado, Accesibilidad Web",Subsecretaría de Economía del Conocimiento / CUTI / ChileTec,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Economía del Conocimiento,OCUP_18,Consultor en Transformación Digital y Analítica de Negocio,2421,Muy Alta,+15.9% anual,"Gestión de Procesos (BPMN), Power BI, Scrum, Estrategia de Datos",CEPALSTAT / Redes de Servicios Globales,Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Economía del Conocimiento,OCUP_19,Científico e Investigador en Biotecnología y AgTech,2131,Alta,+13.7% anual,"Genómica Aplicada, Fermentación de Precisión, Bioinformática","Institut Pasteur Montevideo (URY), CORFO (CHL), CONICET / INTA (ARG)",Alta Especialización en Servicios Globales,2026-09-10
URY,Uruguay,Economía del Conocimiento,OCUP_20,Analista Financiero Cuantitativo y FinTech,2413,Muy Alta,+19.2% anual,"Modelado Financiero, Python, Pagos Digitales, Cumplimiento Regulatorio / AML","Bancos Centrales (BCU, BCCh, BCRA) / Cámaras FinTech",Alta Especialización en Servicios Globales,2026-09-10
CHL,Chile,Tecnología,OCUP_01,Desarrollador de Software y Aplicaciones,2512,Muy Alta,+18.5% anual,"Python, JavaScript, FastAPI, React, SQL, Git","CUTI (Uruguay), ACTI / SENCE (Chile), Cessi / Subsecretaría de Economía del Conocimiento (Argentina)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Tecnología,OCUP_02,Ingeniero de Datos y Machine Learning,2511,Muy Alta,+24.0% anual,"Pipelines ETL, MLOps, PyTorch, Pandas, Power BI, SQL",ILOSTAT / CEPAL / Ministerios de Ciencia y Tecnología,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Tecnología,OCUP_03,Especialista en Ciberseguridad y Redes,2529,Alta,+15.2% anual,"Seguridad de Infraestructura, ISO 27001, Ethical Hacking, Cloud Security","AGESIC (Uruguay), CSIRT Nacional (Chile), CERT.ar (Argentina)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Tecnología,OCUP_04,Arquitecto Cloud y DevOps,2522,Muy Alta,+21.0% anual,"Docker, Kubernetes, AWS/Azure, CI/CD, Terraform",ILOSTAT / Reportes Sectoriales TI,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Salud,OCUP_05,Médico General y Especialista,2211,Alta,+6.5% anual,"Diagnóstico Clínico, Telemedicina, Gestión de Historias Clínicas Electrónicas","MSP (Uruguay), MINSAL / DEIS (Chile), Ministerio de Salud (Argentina)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Salud,OCUP_06,Profesional de Enfermería y Cuidados Críticos,2221,Muy Alta,+9.8% anual,"Atención de Emergencias, Monitoreo Biomédico, Cuidados de Tercera Edad","INE / Ministerios de Salud de URY, CHL y ARG","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Salud,OCUP_07,Bioquímico y Farmacéutico Clínico,2262,Media-Alta,+7.2% anual,"Análisis Clínico, Ensayos Farmacológicos, Biología Molecular",Institutos de Salud Pública / ANMAT / ISP / MSP,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Salud,OCUP_08,Técnico en Diagnóstico por Imágenes y Bioinformática,3211,Alta,+11.4% anual,"Operación de Resonancia/Tomografía, Procesamiento Digital de Imágenes Médicas",ILOSTAT / Asociaciones Médicas Regionales,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Energía,OCUP_09,Ingeniero en Energías Renovables (Eólica / Solar),2149,Muy Alta,+16.8% anual,"Diseño de Parques Eólicos/Solares, Simulación Energética, SCADA","MIEM / UTE (Uruguay), Ministerio de Energía (Chile), Secretaría de Energía (Argentina)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Energía,OCUP_10,"Ingeniero de Operaciones de Petróleo, Gas y Minería de Transición",2146,Alta,+8.9% anual,"Extracción No Convencional, Minería de Litio/Cobre, Gestión Ambiental","SERNAGEOMIN (Chile), Secretaría de Minería (Argentina), ANCAP (Uruguay)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Energía,OCUP_11,Técnico en Redes Eléctricas Inteligentes (Smart Grids),3113,Alta,+12.0% anual,"Telemetría, Distribución Eléctrica de Alta/Media Tensión, Automatización","Entes Reguladores de Energía (URSEA, CNE, ENRE)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Energía,OCUP_12,Auditor y Consultor en Eficiencia Energética,2149,Media-Alta,+14.3% anual,"ISO 50001, Huella de Carbono, Optimización Térmica e Industrial",Agencias de Sostenibilidad Energética / CEPAL,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Turismo,OCUP_13,Administrador de Servicios Hoteleros y Experiencia de Huésped,1411,Media-Alta,+7.5% anual,"Revenue Management, PMS Hoteleros, Gestión de Hospitalidad, Inglés/Portugués","Mintur (Uruguay), Sernatur (Chile), Ministerio de Turismo y Deportes (Argentina)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Turismo,OCUP_14,Guía Especializado en Ecoturismo y Aventura,5113,Alta,+13.1% anual,"Primeros Auxilios en Áreas Remotas, Interpretación Patrimonial, Idiomas",Sernatur / Mintur / Parques Nacionales,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Turismo,OCUP_15,Coordinador de Operaciones Turísticas Digitales (TravelTech),3339,Alta,+10.2% anual,"Canales OTA (Booking, Expedia), Marketing Turístico Digital, CRM","Cámaras de Turismo de URY, CHL y ARG","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Turismo,OCUP_16,Chef Ejecutivo y Gestor Gastronómico Sostenible,3434,Media-Alta,+6.8% anual,"Cocina de Autor/Identidad Regional, Costos Gastronómicos, HACCP/BPM",Asociaciones Gastronómicas y Hoteleras,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Economía del Conocimiento,OCUP_17,Diseñador UX/UI y Experiencia de Producto Digital,2166,Muy Alta,+17.4% anual,"Figma, Design Systems, User Research, Prototipado, Accesibilidad Web",Subsecretaría de Economía del Conocimiento / CUTI / ChileTec,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Economía del Conocimiento,OCUP_18,Consultor en Transformación Digital y Analítica de Negocio,2421,Muy Alta,+15.9% anual,"Gestión de Procesos (BPMN), Power BI, Scrum, Estrategia de Datos",CEPALSTAT / Redes de Servicios Globales,"Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Economía del Conocimiento,OCUP_19,Científico e Investigador en Biotecnología y AgTech,2131,Alta,+13.7% anual,"Genómica Aplicada, Fermentación de Precisión, Bioinformática","Institut Pasteur Montevideo (URY), CORFO (CHL), CONICET / INTA (ARG)","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
CHL,Chile,Economía del Conocimiento,OCUP_20,Analista Financiero Cuantitativo y FinTech,2413,Muy Alta,+19.2% anual,"Modelado Financiero, Python, Pagos Digitales, Cumplimiento Regulatorio / AML","Bancos Centrales (BCU, BCCh, BCRA) / Cámaras FinTech","Liderazgo en Minería Verde, Energías y Fintech",2026-09-10
ARG,Argentina,Tecnología,OCUP_01,Desarrollador de Software y Aplicaciones,2512,Muy Alta,+18.5% anual,"Python, JavaScript, FastAPI, React, SQL, Git","CUTI (Uruguay), ACTI / SENCE (Chile), Cessi / Subsecretaría de Economía del Conocimiento (Argentina)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Tecnología,OCUP_02,Ingeniero de Datos y Machine Learning,2511,Muy Alta,+24.0% anual,"Pipelines ETL, MLOps, PyTorch, Pandas, Power BI, SQL",ILOSTAT / CEPAL / Ministerios de Ciencia y Tecnología,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Tecnología,OCUP_03,Especialista en Ciberseguridad y Redes,2529,Alta,+15.2% anual,"Seguridad de Infraestructura, ISO 27001, Ethical Hacking, Cloud Security","AGESIC (Uruguay), CSIRT Nacional (Chile), CERT.ar (Argentina)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Tecnología,OCUP_04,Arquitecto Cloud y DevOps,2522,Muy Alta,+21.0% anual,"Docker, Kubernetes, AWS/Azure, CI/CD, Terraform",ILOSTAT / Reportes Sectoriales TI,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Salud,OCUP_05,Médico General y Especialista,2211,Alta,+6.5% anual,"Diagnóstico Clínico, Telemedicina, Gestión de Historias Clínicas Electrónicas","MSP (Uruguay), MINSAL / DEIS (Chile), Ministerio de Salud (Argentina)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Salud,OCUP_06,Profesional de Enfermería y Cuidados Críticos,2221,Muy Alta,+9.8% anual,"Atención de Emergencias, Monitoreo Biomédico, Cuidados de Tercera Edad","INE / Ministerios de Salud de URY, CHL y ARG",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Salud,OCUP_07,Bioquímico y Farmacéutico Clínico,2262,Media-Alta,+7.2% anual,"Análisis Clínico, Ensayos Farmacológicos, Biología Molecular",Institutos de Salud Pública / ANMAT / ISP / MSP,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Salud,OCUP_08,Técnico en Diagnóstico por Imágenes y Bioinformática,3211,Alta,+11.4% anual,"Operación de Resonancia/Tomografía, Procesamiento Digital de Imágenes Médicas",ILOSTAT / Asociaciones Médicas Regionales,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Energía,OCUP_09,Ingeniero en Energías Renovables (Eólica / Solar),2149,Muy Alta,+16.8% anual,"Diseño de Parques Eólicos/Solares, Simulación Energética, SCADA","MIEM / UTE (Uruguay), Ministerio de Energía (Chile), Secretaría de Energía (Argentina)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Energía,OCUP_10,"Ingeniero de Operaciones de Petróleo, Gas y Minería de Transición",2146,Alta,+8.9% anual,"Extracción No Convencional, Minería de Litio/Cobre, Gestión Ambiental","SERNAGEOMIN (Chile), Secretaría de Minería (Argentina), ANCAP (Uruguay)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Energía,OCUP_11,Técnico en Redes Eléctricas Inteligentes (Smart Grids),3113,Alta,+12.0% anual,"Telemetría, Distribución Eléctrica de Alta/Media Tensión, Automatización","Entes Reguladores de Energía (URSEA, CNE, ENRE)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Energía,OCUP_12,Auditor y Consultor en Eficiencia Energética,2149,Media-Alta,+14.3% anual,"ISO 50001, Huella de Carbono, Optimización Térmica e Industrial",Agencias de Sostenibilidad Energética / CEPAL,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Turismo,OCUP_13,Administrador de Servicios Hoteleros y Experiencia de Huésped,1411,Media-Alta,+7.5% anual,"Revenue Management, PMS Hoteleros, Gestión de Hospitalidad, Inglés/Portugués","Mintur (Uruguay), Sernatur (Chile), Ministerio de Turismo y Deportes (Argentina)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Turismo,OCUP_14,Guía Especializado en Ecoturismo y Aventura,5113,Alta,+13.1% anual,"Primeros Auxilios en Áreas Remotas, Interpretación Patrimonial, Idiomas",Sernatur / Mintur / Parques Nacionales,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Turismo,OCUP_15,Coordinador de Operaciones Turísticas Digitales (TravelTech),3339,Alta,+10.2% anual,"Canales OTA (Booking, Expedia), Marketing Turístico Digital, CRM","Cámaras de Turismo de URY, CHL y ARG",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Turismo,OCUP_16,Chef Ejecutivo y Gestor Gastronómico Sostenible,3434,Media-Alta,+6.8% anual,"Cocina de Autor/Identidad Regional, Costos Gastronómicos, HACCP/BPM",Asociaciones Gastronómicas y Hoteleras,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Economía del Conocimiento,OCUP_17,Diseñador UX/UI y Experiencia de Producto Digital,2166,Muy Alta,+17.4% anual,"Figma, Design Systems, User Research, Prototipado, Accesibilidad Web",Subsecretaría de Economía del Conocimiento / CUTI / ChileTec,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Economía del Conocimiento,OCUP_18,Consultor en Transformación Digital y Analítica de Negocio,2421,Muy Alta,+15.9% anual,"Gestión de Procesos (BPMN), Power BI, Scrum, Estrategia de Datos",CEPALSTAT / Redes de Servicios Globales,Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Economía del Conocimiento,OCUP_19,Científico e Investigador en Biotecnología y AgTech,2131,Alta,+13.7% anual,"Genómica Aplicada, Fermentación de Precisión, Bioinformática","Institut Pasteur Montevideo (URY), CORFO (CHL), CONICET / INTA (ARG)",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
ARG,Argentina,Economía del Conocimiento,OCUP_20,Analista Financiero Cuantitativo y FinTech,2413,Muy Alta,+19.2% anual,"Modelado Financiero, Python, Pagos Digitales, Cumplimiento Regulatorio / AML","Bancos Centrales (BCU, BCCh, BCRA) / Cámaras FinTech",Gran Volumen de Talento y AgTech/Biotecnología,2026-09-10
